Station,Date,Time,latitude,longitude,PM2.5,PM10,CO,NO,NO2,NH3,O3,SO2
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,00:00:00,26.9006,75.8253,,82.69,0.93,,15.48,16.47,11.35,3.87
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,01:00:00,26.9006,75.8253,,91.74,0.95,,14.39,14.06,17.7,4.59
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,02:00:00,26.9006,75.8253,,112.1,1.16,,18.21,15.2,14.48,6.91
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,03:00:00,26.9006,75.8253,,129.78,1.4,,21.31,16.21,15.2,8.58
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,04:00:00,26.9006,75.8253,,100.33,1.04,,13.66,12.41,62.94,9.18
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,05:00:00,26.9006,75.8253,,99.1,1.05,,11.47,14.31,71.53,11.92
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,06:00:00,26.9006,75.8253,,98.83,1.04,,10.75,14.95,83.68,14.31
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,07:00:00,26.9006,75.8253,,46.69,0.51,,4.73,6.21,115.87,17.64
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,08:00:00,26.9006,75.8253,,39.82,0.44,,3.51,5.38,124.45,15.74
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,09:00:00,26.9006,75.8253,,39.52,0.42,,3.32,5.45,128.75,15.5
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,10:00:00,26.9006,75.8253,,57.76,0.71,,8.83,13.3,100.14,17.64
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,11:00:00,26.9006,75.8253,,87.43,1.2,,18.76,24.07,60.8,20.03
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,12:00:00,26.9006,75.8253,,109.66,1.66,,32.42,37.49,22.89,24.56
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,13:00:00,26.9006,75.8253,,126.37,1.92,,38.61,52.18,1.36,29.09
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,14:00:00,26.9006,75.8253,,149.83,2.16,,34.61,58.77,0.07,30.04
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,15:00:00,26.9006,75.8253,,176.43,2.43,,31.33,54.21,0.01,25.99
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,16:00:00,26.9006,75.8253,,190.28,2.48,,28.05,36.98,0.01,18.12
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,17:00:00,26.9006,75.8253,,195.02,2.46,,25.14,26.6,0.02,14.31
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,18:00:00,26.9006,75.8253,,175.84,2.14,,24.41,22.55,0.08,10.37
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,19:00:00,26.9006,75.8253,,139.4,1.63,,24.41,19.51,0.44,6.68
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,20:00:00,26.9006,75.8253,,112.71,1.24,,22.95,16.47,1.99,5.13
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,21:00:00,26.9006,75.8253,,96.85,0.99,,20.03,13.81,6.26,4.17
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,22:00:00,26.9006,75.8253,,90.62,0.85,,16.94,11.65,11.62,3.64
"Adarsh Nagar, Jaipur, India",2022-01-01 00:00:00,23:00:00,26.9006,75.8253,,91.8,0.81,,14.75,9.25,16.45,3.43
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,00:00:00,26.9006,75.8253,,96.33,0.8,,13.3,7.54,20.38,3.52
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,01:00:00,26.9006,75.8253,,105.53,0.85,,13.3,6.84,21.82,4.23
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,02:00:00,26.9006,75.8253,,124.55,1.08,,17.3,7.03,15.91,6.26
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,03:00:00,26.9006,75.8253,,140.81,1.32,,21.49,7.22,14.13,7.57
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,04:00:00,26.9006,75.8253,,117.46,0.99,,13.3,7.16,68.66,8.11
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,05:00:00,26.9006,75.8253,,120.04,0.97,,10.38,11.15,77.96,10.01
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,06:00:00,26.9006,75.8253,,123.74,0.95,,8.83,12.54,92.98,11.92
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,07:00:00,26.9006,75.8253,,82.46,0.54,,3.83,4.81,140.19,15.26
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,08:00:00,26.9006,75.8253,,79.0,0.5,,3.0,4.69,150.2,15.14
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,09:00:00,26.9006,75.8253,,80.05,0.5,,2.96,5.13,154.5,15.5
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,10:00:00,26.9006,75.8253,,89.79,0.64,,5.92,9.5,135.9,16.21
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,11:00:00,26.9006,75.8253,,106.55,0.91,,12.02,15.96,104.43,16.21
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,12:00:00,26.9006,75.8253,,120.13,1.16,,19.31,21.03,72.24,15.5
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,13:00:00,26.9006,75.8253,,132.37,1.34,,22.77,25.59,50.78,14.78
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,14:00:00,26.9006,75.8253,,150.27,1.51,,24.77,28.37,37.55,15.5
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,15:00:00,26.9006,75.8253,,173.48,1.76,,28.41,31.41,24.32,16.45
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,16:00:00,26.9006,75.8253,,192.35,1.92,,30.6,34.96,12.34,15.5
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,17:00:00,26.9006,75.8253,,187.18,1.79,,28.05,36.48,5.01,11.92
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,18:00:00,26.9006,75.8253,,151.62,1.34,,22.58,26.85,4.11,7.03
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,19:00:00,26.9006,75.8253,,119.5,0.95,,17.3,15.45,10.37,4.05
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,20:00:00,26.9006,75.8253,,113.31,0.83,,13.84,10.26,20.21,3.93
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,21:00:00,26.9006,75.8253,,116.45,0.79,,11.02,7.6,33.26,3.99
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,22:00:00,26.9006,75.8253,,124.32,0.81,,9.93,6.97,40.05,4.05
"Adarsh Nagar, Jaipur, India",2022-01-02 00:00:00,23:00:00,26.9006,75.8253,,133.63,0.85,,9.93,7.41,40.05,4.29
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,00:00:00,26.9006,75.8253,,142.45,0.91,,10.2,8.23,41.48,4.95
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,01:00:00,26.9006,75.8253,,156.11,1.03,,12.02,9.75,40.41,6.5
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,02:00:00,26.9006,75.8253,,183.64,1.38,,19.13,11.78,27.89,9.78
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,03:00:00,26.9006,75.8253,,208.16,1.76,,25.5,12.67,17.88,12.28
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,04:00:00,26.9006,75.8253,,199.26,1.76,,20.58,13.17,40.77,13.95
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,05:00:00,26.9006,75.8253,,209.15,1.9,,19.13,17.99,56.51,17.4
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,06:00:00,26.9006,75.8253,,241.11,2.11,,21.31,20.52,86.55,21.7
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,07:00:00,26.9006,75.8253,,128.92,0.88,,9.93,5.45,151.63,38.15
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,08:00:00,26.9006,75.8253,,122.06,0.79,,7.47,4.81,170.23,33.86
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,09:00:00,26.9006,75.8253,,122.05,0.75,,6.38,5.13,180.24,32.42
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,10:00:00,26.9006,75.8253,,134.82,0.92,,9.65,10.39,157.36,30.04
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,11:00:00,26.9006,75.8253,,159.49,1.31,,18.21,18.24,113.01,26.46
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,12:00:00,26.9006,75.8253,,178.5,1.67,,29.5,24.07,69.38,23.37
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,13:00:00,26.9006,75.8253,,199.35,2.0,,38.25,30.65,36.12,22.17
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,14:00:00,26.9006,75.8253,,231.62,2.35,,43.35,34.45,15.38,22.17
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,15:00:00,26.9006,75.8253,,259.99,2.59,,44.07,26.35,6.08,20.74
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,16:00:00,26.9006,75.8253,,270.9,2.59,,40.07,17.73,4.25,17.64
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,17:00:00,26.9006,75.8253,,273.65,2.54,,36.06,15.71,5.41,16.21
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,18:00:00,26.9006,75.8253,,262.9,2.35,,32.42,13.55,10.46,13.47
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,19:00:00,26.9006,75.8253,,233.99,2.0,,25.86,10.77,22.71,10.01
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,20:00:00,26.9006,75.8253,,207.15,1.64,,19.49,8.99,35.05,8.34
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,21:00:00,26.9006,75.8253,,185.89,1.36,,14.57,7.85,45.78,7.87
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,22:00:00,26.9006,75.8253,,166.9,1.11,,10.84,7.22,57.94,8.23
"Adarsh Nagar, Jaipur, India",2022-01-03 00:00:00,23:00:00,26.9006,75.8253,,159.6,1.03,,9.84,7.6,58.65,8.7
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,00:00:00,26.9006,75.8253,,155.88,1.01,,10.2,8.49,55.79,9.54
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,01:00:00,26.9006,75.8253,,159.77,1.12,,12.57,10.39,48.64,11.8
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,02:00:00,26.9006,75.8253,,179.91,1.47,,19.31,13.17,32.19,16.21
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,03:00:00,26.9006,75.8253,,203.31,1.9,,25.14,15.07,19.49,19.79
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,04:00:00,26.9006,75.8253,,222.04,2.24,,22.58,18.24,29.33,22.65
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,05:00:00,26.9006,75.8253,,231.73,2.32,,21.67,21.79,52.21,25.27
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,06:00:00,26.9006,75.8253,,242.68,2.24,,21.31,21.03,94.41,27.18
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,07:00:00,26.9006,75.8253,,72.65,0.69,,6.65,6.59,127.32,25.51
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,08:00:00,26.9006,75.8253,,60.98,0.57,,4.96,6.08,133.04,21.93
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,09:00:00,26.9006,75.8253,,60.1,0.53,,4.64,6.59,135.9,20.98
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,10:00:00,26.9006,75.8253,,62.73,0.57,,6.83,8.61,124.45,22.41
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,11:00:00,26.9006,75.8253,,69.01,0.69,,9.84,12.29,104.43,23.6
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,12:00:00,26.9006,75.8253,,72.98,0.77,,12.02,14.82,87.98,20.74
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,13:00:00,26.9006,75.8253,,77.25,0.83,,12.93,16.72,77.25,16.45
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,14:00:00,26.9006,75.8253,,83.61,0.87,,12.75,18.75,70.81,13.95
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,15:00:00,26.9006,75.8253,,88.1,0.88,,12.2,19.76,67.95,12.16
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,16:00:00,26.9006,75.8253,,90.54,0.85,,11.56,20.01,64.37,10.13
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,17:00:00,26.9006,75.8253,,94.64,0.85,,11.65,19.76,60.08,8.94
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,18:00:00,26.9006,75.8253,,96.06,0.83,,11.11,17.99,58.65,7.57
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,19:00:00,26.9006,75.8253,,93.86,0.76,,9.56,15.45,60.8,6.02
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,20:00:00,26.9006,75.8253,,95.08,0.72,,8.28,14.06,62.94,5.42
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,21:00:00,26.9006,75.8253,,96.86,0.7,,7.29,13.05,64.37,4.95
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,22:00:00,26.9006,75.8253,,96.75,0.68,,6.83,11.53,62.94,4.71
"Adarsh Nagar, Jaipur, India",2022-01-04 00:00:00,23:00:00,26.9006,75.8253,,96.79,0.69,,6.83,10.26,57.94,4.89
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,00:00:00,26.9006,75.8253,,97.47,0.7,,7.29,9.5,52.93,5.48
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,01:00:00,26.9006,75.8253,,98.42,0.74,,8.38,8.74,49.35,6.56
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,02:00:00,26.9006,75.8253,,101.1,0.87,,11.2,7.6,44.35,8.34
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,03:00:00,26.9006,75.8253,,95.94,0.93,,13.3,6.08,43.99,9.3
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,04:00:00,26.9006,75.8253,,79.65,0.79,,10.11,4.69,63.66,9.3
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,05:00:00,26.9006,75.8253,,83.43,0.73,,8.19,4.31,72.96,8.46
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,06:00:00,26.9006,75.8253,,93.58,0.67,,6.56,3.39,85.12,7.87
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,07:00:00,26.9006,75.8253,,102.37,0.64,,5.6,2.44,91.55,9.66
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,08:00:00,26.9006,75.8253,,104.37,0.65,,5.92,2.25,85.83,11.09
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,09:00:00,26.9006,75.8253,,100.29,0.65,,6.47,2.56,80.11,11.92
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,10:00:00,26.9006,75.8253,,96.38,0.65,,7.1,2.6,77.25,13.83
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,11:00:00,26.9006,75.8253,,95.19,0.67,,7.65,2.53,75.1,14.9
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,12:00:00,26.9006,75.8253,,89.47,0.7,,8.19,2.82,71.53,13.95
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,13:00:00,26.9006,75.8253,,82.07,0.72,,8.19,3.13,70.1,11.68
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,14:00:00,26.9006,75.8253,,79.35,0.74,,8.1,3.58,68.66,10.37
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,15:00:00,26.9006,75.8253,,81.04,0.78,,7.83,3.77,67.95,9.54
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,16:00:00,26.9006,75.8253,,77.95,0.77,,7.1,3.74,67.95,8.34
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,17:00:00,26.9006,75.8253,,62.08,0.67,,6.1,3.45,68.66,7.39
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,18:00:00,26.9006,75.8253,,44.06,0.55,,4.83,2.88,71.53,6.5
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,19:00:00,26.9006,75.8253,,37.7,0.48,,4.01,2.69,72.96,5.6
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,20:00:00,26.9006,75.8253,,44.67,0.51,,4.01,3.1,68.66,5.25
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,21:00:00,26.9006,75.8253,,56.43,0.58,,4.28,3.51,62.23,5.07
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,22:00:00,26.9006,75.8253,,69.93,0.66,,4.73,4.12,54.36,4.77
"Adarsh Nagar, Jaipur, India",2022-01-05 00:00:00,23:00:00,26.9006,75.8253,,84.58,0.73,,5.19,4.56,46.49,4.59
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,00:00:00,26.9006,75.8253,,100.23,0.81,,5.69,4.94,40.41,4.77
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,01:00:00,26.9006,75.8253,,117.53,0.89,,6.56,5.45,36.12,5.19
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,02:00:00,26.9006,75.8253,,134.9,1.01,,8.65,6.21,31.47,6.5
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,03:00:00,26.9006,75.8253,,146.08,1.07,,10.29,6.46,30.04,7.33
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,04:00:00,26.9006,75.8253,,151.95,0.99,,8.28,5.45,48.64,8.11
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,05:00:00,26.9006,75.8253,,168.12,0.97,,7.38,5.64,55.79,8.34
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,06:00:00,26.9006,75.8253,,188.61,1.0,,7.2,6.14,59.37,8.7
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,07:00:00,26.9006,75.8253,,113.83,0.75,,4.14,3.07,84.4,8.58
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,08:00:00,26.9006,75.8253,,95.1,0.7,,3.96,2.98,82.25,8.46
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,09:00:00,26.9006,75.8253,,104.39,0.75,,4.33,3.29,74.39,8.58
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,10:00:00,26.9006,75.8253,,111.59,0.8,,5.23,3.67,65.09,9.3
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,11:00:00,26.9006,75.8253,,106.67,0.87,,6.56,4.05,55.07,10.85
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,12:00:00,26.9006,75.8253,,97.2,0.91,,7.92,4.37,49.35,12.04
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,13:00:00,26.9006,75.8253,,93.53,0.99,,9.93,5.76,42.2,11.68
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,14:00:00,26.9006,75.8253,,98.82,1.09,,11.56,7.03,34.33,10.73
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,15:00:00,26.9006,75.8253,,106.93,1.13,,12.2,7.16,28.61,9.54
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,16:00:00,26.9006,75.8253,,110.47,1.12,,11.65,6.78,27.18,7.99
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,17:00:00,26.9006,75.8253,,112.45,1.08,,10.84,6.4,28.25,6.97
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,18:00:00,26.9006,75.8253,,115.23,1.01,,9.93,5.57,28.61,5.66
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,19:00:00,26.9006,75.8253,,119.38,0.96,,9.01,4.81,28.61,4.71
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,20:00:00,26.9006,75.8253,,123.37,0.96,,8.28,4.75,29.68,4.89
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,21:00:00,26.9006,75.8253,,124.96,0.97,,7.56,5.0,33.62,5.3
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,22:00:00,26.9006,75.8253,,126.32,0.97,,7.2,5.57,36.84,5.96
"Adarsh Nagar, Jaipur, India",2022-01-06 00:00:00,23:00:00,26.9006,75.8253,,129.23,1.0,,7.1,6.46,36.12,6.79
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,00:00:00,26.9006,75.8253,,132.42,1.03,,7.38,7.6,34.33,7.75
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,01:00:00,26.9006,75.8253,,133.02,1.08,,8.28,8.36,31.47,8.94
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,02:00:00,26.9006,75.8253,,131.28,1.21,,10.65,8.23,25.03,10.61
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,03:00:00,26.9006,75.8253,,114.93,1.26,,11.84,7.28,21.99,11.68
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,04:00:00,26.9006,75.8253,,59.91,0.79,,6.19,3.61,49.35,11.92
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,05:00:00,26.9006,75.8253,,45.58,0.67,,4.92,2.98,52.21,10.61
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,06:00:00,26.9006,75.8253,,38.16,0.59,,4.51,2.09,50.07,11.21
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,07:00:00,26.9006,75.8253,,31.0,0.49,,3.87,1.46,52.21,11.09
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,08:00:00,26.9006,75.8253,,26.29,0.46,,3.42,1.69,53.64,8.7
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,09:00:00,26.9006,75.8253,,21.34,0.43,,3.37,2.03,56.51,7.87
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,10:00:00,26.9006,75.8253,,20.85,0.42,,4.96,2.6,57.94,12.99
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,11:00:00,26.9006,75.8253,,25.98,0.43,,7.38,3.83,56.51,18.84
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,12:00:00,26.9006,75.8253,,28.28,0.43,,8.28,5.13,60.08,16.45
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,13:00:00,26.9006,75.8253,,26.17,0.44,,6.92,6.21,63.66,10.25
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,14:00:00,26.9006,75.8253,,22.63,0.45,,6.1,5.76,57.94,7.87
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,15:00:00,26.9006,75.8253,,21.42,0.47,,6.01,4.62,52.21,7.75
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,16:00:00,26.9006,75.8253,,19.62,0.46,,5.6,3.77,49.35,7.03
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,17:00:00,26.9006,75.8253,,17.55,0.45,,5.1,3.26,50.07,6.56
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,18:00:00,26.9006,75.8253,,15.68,0.44,,4.55,2.69,51.5,6.08
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,19:00:00,26.9006,75.8253,,14.61,0.43,,3.78,2.37,53.64,5.36
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,20:00:00,26.9006,75.8253,,14.36,0.43,,3.14,2.47,52.93,4.89
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,21:00:00,26.9006,75.8253,,15.01,0.44,,2.96,2.69,50.07,5.01
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,22:00:00,26.9006,75.8253,,15.62,0.45,,3.14,2.94,45.78,5.25
"Adarsh Nagar, Jaipur, India",2022-01-07 00:00:00,23:00:00,26.9006,75.8253,,16.05,0.47,,3.42,3.45,41.13,5.13
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,00:00:00,26.9006,75.8253,,17.84,0.49,,3.87,4.24,36.84,5.48
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,01:00:00,26.9006,75.8253,,22.54,0.53,,4.83,5.26,32.54,6.68
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,02:00:00,26.9006,75.8253,,30.42,0.64,,6.83,5.83,28.61,9.3
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,03:00:00,26.9006,75.8253,,34.0,0.71,,8.65,5.51,27.89,12.28
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,04:00:00,26.9006,75.8253,,31.3,0.67,,8.28,4.62,33.97,14.19
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,05:00:00,26.9006,75.8253,,30.74,0.67,,8.19,4.56,36.84,15.5
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,06:00:00,26.9006,75.8253,,27.37,0.65,,7.74,4.37,40.41,16.45
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,07:00:00,26.9006,75.8253,,20.19,0.58,,5.23,3.48,54.36,12.64
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,08:00:00,26.9006,75.8253,,17.9,0.54,,4.14,3.51,60.08,10.13
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,09:00:00,26.9006,75.8253,,17.44,0.53,,3.83,3.89,63.66,9.3
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,10:00:00,26.9006,75.8253,,19.76,0.54,,4.33,5.26,67.23,10.73
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,11:00:00,26.9006,75.8253,,22.7,0.57,,5.46,6.9,70.1,12.04
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,12:00:00,26.9006,75.8253,,23.4,0.55,,6.28,7.16,72.24,9.42
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,13:00:00,26.9006,75.8253,,25.98,0.53,,6.74,7.22,67.95,6.26
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,14:00:00,26.9006,75.8253,,29.36,0.55,,7.2,7.16,59.37,5.13
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,15:00:00,26.9006,75.8253,,32.22,0.57,,7.2,6.14,52.21,4.41
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,16:00:00,26.9006,75.8253,,34.87,0.6,,7.2,5.13,46.49,3.87
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,17:00:00,26.9006,75.8253,,38.16,0.63,,6.92,4.69,43.99,3.46
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,18:00:00,26.9006,75.8253,,43.0,0.67,,6.1,4.24,45.42,2.74
"Adarsh Nagar, Jaipur, India",2022-01-08 00:00:00,19:00:00,26.9006,75.8253,,50.19,0.72,,5.19,3.8,48.64,2.18
