date,pm2_5,pm10,co,no,no2,nh3,o3,so2,Station
2022-01-01,374.47541666666666,433.8404166666666,4016.5595833333336,48.595,78.14208333333333,19.192083333333333,32.83416666666667,44.42583333333334,Delhi
2022-01-02,391.4270833333333,449.1720833333333,3776.2325,34.384166666666665,78.485,18.45833333333333,33.30125,43.29333333333333,Delhi
2022-01-03,387.9691666666667,452.85791666666665,4036.585,50.95875,73.61541666666666,20.620416666666667,26.1675,49.06458333333333,Delhi
2022-01-04,607.5337499999999,735.0883333333333,7185.300416666666,123.02458333333334,98.5625,42.39958333333333,20.344166666666663,83.44708333333334,Delhi
2022-01-05,478.6891666666667,524.36125,4507.78,68.05083333333333,81.95333333333333,12.152083333333332,20.92125,78.14208333333333,Delhi
2022-01-06,224.8933333333333,258.68625000000003,2645.5325,34.91916666666666,61.99125,15.550416666666663,24.11958333333333,48.52791666666667,Delhi
2022-01-07,111.27291666666667,120.56791666666668,1202.4641666666666,2.087916666666666,36.18625,7.24125,34.00083333333333,31.85833333333333,Delhi
2022-01-08,79.9375,88.92583333333333,1147.3895833333331,5.822083333333333,38.235416666666666,5.184166666666667,21.640416666666667,37.33208333333334,Delhi
2022-01-09,108.33625,132.42583333333332,1742.3637500000002,19.41958333333333,39.31458333333333,9.51,4.399166666666667,42.41875,Delhi
2022-01-10,268.26166666666666,331.9533333333333,3702.800416666667,58.62041666666666,58.03541666666666,18.991666666666667,18.40625,48.24,Delhi
2022-01-11,195.68416666666667,232.55291666666665,2345.959166666667,18.235,58.77791666666667,14.461666666666666,32.555416666666666,40.36208333333334,Delhi
2022-01-12,353.03208333333333,421.7770833333333,4112.800833333334,66.94666666666667,72.60083333333334,19.88875,22.836250000000003,54.43,Delhi
2022-01-13,561.3908333333333,672.8591666666667,7899.046666666666,183.7795833333333,138.96166666666667,96.19625,17.537916666666668,157.57500000000002,Delhi
2022-01-14,481.7341666666666,559.1416666666667,5624.294583333333,103.91625,94.04875,23.58875,13.757916666666668,70.25458333333334,Delhi
2022-01-15,318.65291666666667,363.65375,3132.0245833333333,27.18125,66.4325,13.058750000000002,27.4125,40.89833333333333,Delhi
2022-01-16,446.3758333333333,501.89208333333335,4375.934166666667,58.35041666666667,75.38541666666667,24.10291666666667,28.041666666666668,56.653333333333336,Delhi
2022-01-17,664.495,771.0454166666667,7555.802916666666,161.8525,104.11791666666666,62.165,2.815,123.95833333333331,Delhi
2022-01-18,347.06333333333333,388.845,3069.7183333333337,27.36875,68.85833333333333,13.291666666666666,19.2525,45.16,Delhi
2022-01-19,553.3904166666667,633.4554166666667,5840.142916666667,88.745,98.62125,25.984166666666667,15.229583333333332,76.13458333333334,Delhi
2022-01-20,749.66,849.5170833333333,9429.45375,230.595,92.28,49.05458333333333,4.805833333333333,118.87125,Delhi
2022-01-21,579.1058333333334,629.5658333333333,6606.182083333333,142.22166666666666,87.95291666666667,19.345,30.35833333333333,78.40958333333333,Delhi
2022-01-22,122.50333333333332,126.9125,892.32125,0.26,25.36958333333333,3.9125,70.735,29.445,Delhi
2022-01-23,145.54,154.04,1241.68,0.09,33.93,4.88,26.46,32.42,Delhi
2022-01-24,208.12478260869565,264.75347826086954,3280.3908695652176,58.16347826086957,48.96521739130435,17.157826086956522,14.866521739130436,44.63608695652174,Delhi
2022-01-25,172.94958333333332,209.28666666666663,2359.8675,23.074583333333333,53.07333333333333,13.67375,20.9525,38.0475,Delhi
2022-01-26,193.11041666666665,227.38541666666663,2191.3054166666666,16.21708333333333,50.60874999999999,11.777083333333332,33.33583333333333,40.42083333333333,Delhi
2022-01-27,115.39416666666666,138.78,1455.8637500000002,6.932916666666666,43.41875,13.239583333333334,54.86375,34.869166666666665,Delhi
2022-01-28,116.4225,144.82458333333332,1562.9525,7.705416666666667,52.680416666666666,11.958333333333334,38.55625,34.877916666666664,Delhi
2022-01-29,130.86666666666667,162.54,1733.7408333333333,12.487083333333333,51.23791666666667,12.190833333333332,37.95875,34.3825,Delhi
2022-01-30,139.24583333333334,164.59625,1334.5879166666666,4.6425,37.834583333333335,9.469583333333334,54.33583333333333,32.524166666666666,Delhi
2022-01-31,693.8933333333333,834.5545833333334,8577.187916666668,177.37958333333336,154.64125,85.15791666666667,18.417916666666667,183.39375,Delhi
2022-02-01,591.3128,665.6708,4724.2744,61.8492,78.1824,23.0204,54.3376,83.01719999999999,Delhi
2022-02-02,304.31083333333333,374.97791666666666,3093.083333333333,46.89416666666667,64.93291666666667,19.305416666666662,58.57583333333333,56.51499999999999,Delhi
2022-02-03,160.23708333333337,172.63041666666666,1352.9466666666667,0.6779166666666666,45.047083333333326,6.266249999999999,52.748333333333335,45.875416666666666,Delhi
2022-02-04,164.03,211.94875,2436.639166666667,36.845416666666665,50.03083333333333,13.72,19.52208333333333,50.55416666666667,Delhi
2022-02-05,440.6283333333333,526.2687500000001,5508.582083333334,89.27666666666666,93.07958333333332,25.202916666666667,18.3475,79.61166666666666,Delhi
2022-02-06,426.69458333333336,501.2708333333333,4834.333750000001,58.35708333333333,98.87666666666668,23.41333333333333,50.74208333333333,61.82958333333334,Delhi
2022-02-07,454.53625,557.78875,6136.099166666667,115.77083333333331,81.55541666666666,32.885,30.10875,63.73708333333334,Delhi
2022-02-08,580.7475000000001,691.1424999999999,6427.605833333334,117.905,110.47333333333334,23.859583333333333,11.210416666666667,131.16916666666663,Delhi
2022-02-09,428.5325,504.0054166666667,4318.635416666667,55.40958333333333,73.315,16.685416666666665,26.797083333333333,77.80375,Delhi
